[1, 8, 28, 21, 4, 32, 17, 19, 6, 30, 34, 15, 10, 26, 23, 2, 14, 11, 5, 20, 29, 7, 18, 31, 33, 16, 9, 27, 22, 3, 13, 12, 24, 25]
[1, 8, 28, 21, 4, 32, 17, 19, 6, 30, 34, 15, 10, 26, 23, 2, 14, 11, 25, 24, 12, 13, 3, 22, 27, 9, 16, 33, 31, 5, 20, 29, 7, 18]
[1, 8, 28, 21, 4, 32, 17, 19, 6, 30, 34, 15, 10, 26, 23, 2, 14, 11, 25, 24, 12, 13, 3, 22, 27, 9, 16, 33, 31, 18, 7, 29, 20, 5]
[1, 8, 28, 21, 4, 32, 17, 19, 6, 30, 34, 15, 10, 26, 23, 2, 14, 22, 3, 13, 12, 24, 25, 11, 5, 20, 29, 7, 18, 31, 33, 16, 9, 27]
[1, 8, 28, 21, 4, 32, 17, 19, 6, 30, 34, 15, 10, 26, 23, 2, 14, 22, 27, 9, 7, 18, 31, 5, 11, 25, 24, 12, 13, 3, 33, 16, 20, 29]
[1, 8, 28, 21, 4, 32, 17, 19, 6, 30, 34, 15, 10, 26, 23, 2, 14, 22, 27, 9, 7, 29, 20, 16, 33, 3, 13, 12, 24, 25, 11, 5, 31, 18]
[1, 8, 28, 21, 4, 32, 17, 19, 6, 30, 34, 15, 10, 26, 23, 2, 14, 22, 27, 9, 16, 20, 5, 11, 25, 24, 12, 13, 3, 33, 31, 18, 7, 29]
[1, 8, 28, 21, 4, 32, 17, 19, 6, 30, 34, 15, 10, 26, 23, 2, 14, 22, 27, 9, 16, 20, 29, 7, 18, 31, 5, 11, 25, 24, 12, 13, 3, 33]
[1, 8, 28, 21, 4, 32, 17, 19, 6, 30, 34, 15, 10, 26, 23, 2, 14, 22, 27, 9, 16, 20, 29, 7, 18, 31, 33, 3, 13, 12, 24, 25, 11, 5]
[1, 8, 28, 21, 4, 32, 17, 19, 6, 30, 34, 15, 10, 26, 23, 2, 14, 22, 27, 9, 16, 33, 3, 13, 12, 24, 25, 11, 5, 20, 29, 7, 18, 31]
[1, 8, 28, 21, 4, 32, 17, 19, 6, 30, 34, 15, 10, 26, 23, 2, 14, 22, 27, 9, 16, 33, 3, 13, 12, 24, 25, 11, 5, 31, 18, 7, 29, 20]
[1, 8, 28, 21, 4, 32, 17, 19, 6, 30, 34, 15, 10, 26, 23, 2, 14, 22, 27, 9, 16, 33, 31, 18, 7, 29, 20, 5, 11, 25, 24, 12, 13, 3]
[1, 8, 28, 21, 4, 32, 17, 19, 30, 6, 3, 13, 12, 24, 25, 11, 5, 20, 29, 7, 18, 31, 33, 16, 9, 27, 22, 14, 2, 23, 26, 10, 15, 34]
[1, 8, 28, 21, 4, 32, 17, 19, 30, 6, 3, 13, 12, 24, 25, 11, 5, 20, 29, 7, 18, 31, 33, 16, 9, 27, 22, 14, 2, 34, 15, 10, 26, 23]
[1, 8, 28, 21, 4, 32, 17, 19, 30, 6, 3, 13, 23, 26, 10, 15, 34, 2, 14, 22, 27, 9, 16, 33, 31, 18, 7, 29, 20, 5, 11, 25, 24, 12]
[1, 8, 28, 21, 4, 32, 17, 19, 30, 6, 3, 22, 14, 2, 34, 15, 10, 26, 23, 13, 12, 24, 25, 11, 5, 20, 29, 7, 18, 31, 33, 16, 9, 27]
